Participant,Index0,Index1,Index2,Index3,Index4,Index5,Index6,Index7,Index8,Index9,Index10
1,6,9,1,3,11,4,10,7,2,5,8
2,6,10,8,2,4,11,9,5,1,7,3
3,6,1,4,8,10,2,9,7,3,5,11
4,6,3,11,1,10,8,4,7,9,2,5
5,6,10,2,9,4,8,11,5,3,1,7
6,6,4,7,9,5,11,2,10,8,1,3
7,6,4,7,3,5,10,8,1,11,9,2
8,6,8,4,7,5,3,9,1,11,2,10
9,6,5,2,11,1,7,4,9,3,10,8
10,6,7,4,1,11,3,9,5,2,8,10
11,6,10,7,4,2,8,1,9,5,11,3
12,6,8,10,5,11,7,9,2,4,1,3
13,6,4,2,10,7,11,3,1,8,5,9
14,6,4,1,5,8,3,11,2,9,7,10
15,6,10,7,2,9,4,1,3,5,8,11
16,6,10,8,3,1,7,11,2,5,9,4
17,6,4,2,10,8,11,5,1,7,3,9
18,6,7,5,1,9,3,10,8,4,11,2
19,6,2,10,4,7,5,3,8,11,1,9
20,6,10,1,11,3,7,5,9,4,2,8
21,6,2,8,1,11,5,7,3,10,4,9
22,6,3,5,2,4,1,11,9,7,10,8
23,6,4,10,3,11,8,5,7,1,9,2
24,6,1,3,9,11,2,7,10,5,8,4
25,6,3,8,10,4,9,5,1,11,2,7
26,6,1,3,9,7,4,10,8,11,2,5
27,6,7,5,10,3,8,4,1,11,9,2
28,6,9,3,11,8,10,7,4,1,5,2
29,6,10,5,7,9,3,8,1,4,2,11
30,6,8,4,2,11,7,10,3,1,5,9
31,6,8,2,5,9,4,10,1,7,3,11
32,6,2,10,4,11,5,9,3,8,1,7
33,6,7,9,2,11,4,1,3,5,8,10
34,6,9,5,7,3,8,10,1,4,11,2
35,6,11,3,7,1,8,5,9,4,2,10
36,6,1,5,7,2,11,9,4,10,8,3
37,6,8,10,3,5,9,7,1,4,2,11
38,6,5,2,4,1,8,10,7,9,3,11
39,6,3,5,9,4,10,1,7,11,2,8
40,6,9,11,7,5,1,8,3,10,2,4
41,6,3,10,5,9,4,8,2,7,1,11
42,6,7,10,3,9,11,8,1,5,2,4
43,6,11,4,7,5,2,9,3,10,8,1
44,6,4,2,5,10,1,7,11,9,3,8
45,6,11,5,2,7,10,3,9,4,1,8
46,6,11,5,3,10,2,8,1,4,7,9
47,6,7,10,1,4,8,3,9,5,2,11
48,6,5,2,8,1,11,4,7,10,3,9
49,6,8,1,5,10,7,4,2,11,9,3
50,6,9,5,7,3,10,1,4,8,2,11
51,6,2,10,4,8,5,1,3,9,7,11
52,6,3,11,7,5,9,2,10,1,8,4
53,6,9,3,1,11,5,8,2,7,10,4
54,6,9,11,1,5,2,7,3,8,10,4
55,6,4,1,3,8,11,9,7,2,5,10
56,6,2,7,1,11,9,5,3,8,4,10
57,6,2,8,4,9,7,1,11,3,5,10
58,6,10,3,7,11,8,2,4,1,9,5
59,6,5,8,4,11,7,1,3,9,2,10
60,6,1,8,10,2,4,7,11,5,3,9
61,6,10,3,8,5,1,9,7,2,4,11
62,6,2,4,10,3,5,1,8,11,9,7
63,6,2,11,9,7,5,1,10,3,8,4
64,6,8,10,4,9,5,2,11,7,3,1
65,6,7,1,5,11,2,10,3,9,4,8
66,6,9,1,5,2,7,11,8,4,10,3
67,6,1,4,7,3,10,2,8,11,5,9
68,6,8,4,2,11,1,9,7,5,3,10
69,6,2,11,8,3,10,4,9,5,7,1
70,6,8,3,1,5,11,4,10,7,9,2
71,6,3,10,5,9,2,8,11,7,1,4
72,6,2,9,7,3,5,10,8,4,11,1
73,6,3,11,8,1,4,9,2,7,10,5
74,6,11,8,3,7,10,5,2,9,4,1
75,6,5,10,2,11,7,9,4,1,8,3
76,6,2,9,5,8,4,11,1,7,3,10
77,6,7,2,10,4,11,8,3,5,1,9
78,6,9,11,2,4,7,1,10,5,8,3
79,6,2,10,5,3,1,7,9,4,8,11
80,6,3,11,1,8,10,2,9,4,7,5
81,6,2,9,5,10,3,1,8,11,7,4
82,6,4,11,2,7,10,3,1,8,5,9
83,6,7,4,9,1,8,2,10,3,11,5
84,6,4,11,5,9,7,2,10,1,3,8
85,6,4,9,5,2,10,3,8,1,7,11
86,6,1,3,8,5,10,2,9,7,4,11
87,6,5,9,1,11,8,3,10,4,2,7
88,6,5,3,7,11,1,10,8,4,9,2
89,6,1,11,9,7,10,5,2,4,8,3
90,6,5,11,3,7,10,4,2,9,1,8
91,6,8,10,4,2,11,5,9,3,1,7
92,6,10,1,7,4,9,11,8,2,5,3
93,6,10,7,5,11,2,4,9,3,8,1
94,6,9,11,4,7,1,8,3,5,2,10
95,6,9,5,10,3,1,8,4,2,11,7
96,6,10,4,7,11,3,9,5,1,8,2
97,6,1,5,8,4,11,9,3,7,10,2
98,6,1,10,5,8,2,9,3,11,7,4
99,6,2,8,4,11,3,9,1,7,10,5
100,6,2,8,5,3,1,9,11,4,7,10
